kind,id,name
events,15186710,
events,15272300,
events,15283307,
events,15283311,
events,15285457,
events,15285464,
events,15526118,
events,16143343,
teams,4781,Mexico
teams,4736,South Africa
teams,1890,Helsingborgs IF
teams,1772,Landskrona BoIS
teams,405944,Monterey Bay FC
teams,1077312,SC Jacksonville
teams,154018,Phoenix Rising FC
teams,197070,Louisville City FC
teams,1158834,AC Boise
teams,23841,Richmond Kickers
teams,1044343,AV Alta FC
teams,465623,Sarasota Paradise
teams,1959,Sport Recife
teams,342775,Athletic Club
teams,4718,Austria
teams,5163,Guatemala
referees,243701,
referees,789021,
referees,788930,
tournaments,3954,
tournaments,3328,
tournaments,43637,
tournaments,27,
tournaments,71367,
tournaments,71366,
tournaments,72623,
tournaments,1449,
tournaments,83,
tournaments,57345,
tournaments,66,
tournaments,1762,
seasons,58210,
seasons,87924,
seasons,87611,
seasons,87609,
seasons,89840,
seasons,87155,
